t,i,j,C1,C2
17278.0,602,620,MP*2,MP*2
17279.0,602,620,MP*2,MP*2
17280.0,620,677,MP*2,MP*2
17280.0,602,620,MP*2,MP*2
17281.0,620,669,MP*2,MP*2
17281.0,602,620,MP*2,MP*2
17282.0,620,669,MP*2,MP*2
17282.0,841,854,PSI*,PSI*
17282.0,602,620,MP*2,MP*2
17283.0,620,677,MP*2,MP*2
17285.0,860,869,PSI*,PSI*
17285.0,831,869,PSI*,PSI*
17286.0,661,683,PC,PC
17287.0,613,654,PC,PC
17287.0,654,690,PC,PC
17287.0,683,1856,PC,MP*1
17287.0,620,677,MP*2,MP*2
17287.0,661,683,PC,PC
17288.0,661,683,PC,PC
17289.0,620,669,MP*2,MP*2
17289.0,1108,1644,MP*1,MP*1
17289.0,661,683,PC,PC
17290.0,1108,1644,MP*1,MP*1
17290.0,860,864,PSI*,PSI*
17290.0,1632,1671,MP*1,MP*1
17290.0,1148,1856,MP*1,MP*1
17290.0,620,669,MP*2,MP*2
17290.0,661,683,PC,PC
17290.0,654,854,PC,PSI*
17291.0,860,869,PSI*,PSI*
17291.0,1644,1856,MP*1,MP*1
17291.0,1632,1671,MP*1,MP*1
17291.0,620,669,MP*2,MP*2
17292.0,860,869,PSI*,PSI*
17292.0,1108,1644,MP*1,MP*1
17292.0,602,603,MP*2,MP*2
17292.0,1632,1671,MP*1,MP*1
17292.0,1108,1856,MP*1,MP*1
17292.0,620,669,MP*2,MP*2
17293.0,860,869,PSI*,PSI*
17293.0,1108,1856,MP*1,MP*1
17293.0,1632,1671,MP*1,MP*1
17294.0,860,869,PSI*,PSI*
17294.0,609,661,PC,PC
17294.0,1644,1856,MP*1,MP*1
17295.0,852,1613,PSI*,MP*1
17295.0,609,661,PC,PC
17295.0,1170,1613,MP*1,MP*1
17295.0,602,603,MP*2,MP*2
17295.0,620,677,MP*2,MP*2
17296.0,860,869,PSI*,PSI*
17296.0,609,661,PC,PC
17297.0,860,869,PSI*,PSI*
17297.0,1632,1856,MP*1,MP*1
17297.0,831,860,PSI*,PSI*
17297.0,860,864,PSI*,PSI*
17297.0,607,1657,PC,MP*1
17297.0,852,1170,PSI*,MP*1
17297.0,832,834,PSI*,PSI*
17298.0,860,869,PSI*,PSI*
17298.0,1632,1856,MP*1,MP*1
17298.0,615,1190,MP*2,MP*1
17298.0,826,860,PSI*,PSI*
17298.0,615,1662,MP*2,MP*1
17298.0,654,694,PC,PC
17299.0,860,869,PSI*,PSI*
17299.0,635,663,PC,PC
17299.0,635,667,PC,PC
17299.0,635,648,PC,PC
17299.0,683,698,PC,PC
17299.0,620,669,MP*2,MP*2
17299.0,807,875,PC*,PC*
17299.0,654,694,PC,PC
17300.0,860,869,PSI*,PSI*
17300.0,831,860,PSI*,PSI*
17300.0,654,690,PC,PC
17300.0,650,1144,MP*2,MP*1
17300.0,683,698,PC,PC
17300.0,654,698,PC,PC
17300.0,860,864,PSI*,PSI*
17300.0,1613,1632,MP*1,MP*1
17301.0,860,869,PSI*,PSI*
17301.0,831,860,PSI*,PSI*
17301.0,609,661,PC,PC
17301.0,851,858,PSI*,PSI*
17301.0,646,1674,MP*2,MP*1
17301.0,1190,1662,MP*1,MP*1
17301.0,860,864,PSI*,PSI*
17301.0,610,626,PC,PC
17301.0,646,1662,MP*2,MP*1
17301.0,1613,1632,MP*1,MP*1
17302.0,860,869,PSI*,PSI*
17302.0,831,860,PSI*,PSI*
17302.0,683,698,PC,PC
17302.0,1190,1632,MP*1,MP*1
17302.0,644,648,PC,PC
17303.0,860,869,PSI*,PSI*
17303.0,609,661,PC,PC
17303.0,841,852,PSI*,PSI*
17303.0,1632,1686,MP*1,MP*1
17303.0,831,860,PSI*,PSI*
17303.0,1190,1632,MP*1,MP*1
17303.0,826,860,PSI*,PSI*
17303.0,1181,1622,MP*1,MP*1
17303.0,860,864,PSI*,PSI*
17303.0,682,690,PC,PC
17304.0,860,869,PSI*,PSI*
17304.0,852,854,PSI*,PSI*
17304.0,609,661,PC,PC
17304.0,682,690,PC,PC
17304.0,827,832,PSI*,PSI*
17304.0,663,686,PC,PC
17304.0,635,648,PC,PC
17304.0,628,644,PC,PC
17304.0,832,834,PSI*,PSI*
17305.0,860,869,PSI*,PSI*
17305.0,609,661,PC,PC
17305.0,1632,1856,MP*1,MP*1
17305.0,852,854,PSI*,PSI*
17305.0,826,860,PSI*,PSI*
17305.0,663,686,PC,PC
17305.0,860,864,PSI*,PSI*
17305.0,635,648,PC,PC
17305.0,836,898,PSI*,PC*
17305.0,610,654,PC,PC
17306.0,1492,1613,MP*1,MP*1
17306.0,609,661,PC,PC
17306.0,860,863,PSI*,PSI*
17306.0,1632,1856,MP*1,MP*1
17306.0,852,854,PSI*,PSI*
17306.0,857,863,PSI*,PSI*
17306.0,853,854,PSI*,PSI*
17306.0,860,864,PSI*,PSI*
17306.0,663,686,PC,PC
17306.0,826,860,PSI*,PSI*
17306.0,825,826,PSI*,PSI*
17306.0,860,869,PSI*,PSI*
17306.0,660,681,PC,PC
17306.0,826,836,PSI*,PSI*
17306.0,1190,1686,MP*1,MP*1
17306.0,635,648,PC,PC
17306.0,832,834,PSI*,PSI*
17306.0,648,681,PC,PC
17307.0,1492,1613,MP*1,MP*1
17307.0,860,863,PSI*,PSI*
17307.0,841,852,PSI*,PSI*
17307.0,667,686,PC,PC
17307.0,863,864,PSI*,PSI*
17307.0,826,860,PSI*,PSI*
17307.0,831,863,PSI*,PSI*
17307.0,825,826,PSI*,PSI*
17307.0,663,686,PC,PC
17307.0,1613,1672,MP*1,MP*1
17307.0,832,836,PSI*,PSI*
17307.0,635,648,PC,PC
17307.0,606,615,MP*2,MP*2
17308.0,1492,1613,MP*1,MP*1
17308.0,609,661,PC,PC
17308.0,841,852,PSI*,PSI*
17308.0,825,826,PSI*,PSI*
17308.0,683,692,PC,PC
17308.0,826,836,PSI*,PSI*
17308.0,1613,1672,MP*1,MP*1
17308.0,635,648,PC,PC
17309.0,1492,1613,MP*1,MP*1
17309.0,825,826,PSI*,PSI*
17309.0,1613,1672,MP*1,MP*1
17309.0,1190,1686,MP*1,MP*1
17309.0,1170,1672,MP*1,MP*1
17309.0,832,834,PSI*,PSI*
17310.0,1492,1613,MP*1,MP*1
17310.0,827,832,PSI*,PSI*
17310.0,841,852,PSI*,PSI*
17310.0,853,854,PSI*,PSI*
17310.0,825,826,PSI*,PSI*
17310.0,1190,1686,MP*1,MP*1
17310.0,1170,1672,MP*1,MP*1
17310.0,832,834,PSI*,PSI*
17311.0,1492,1613,MP*1,MP*1
17311.0,827,832,PSI*,PSI*
17311.0,841,852,PSI*,PSI*
17311.0,825,826,PSI*,PSI*
17311.0,1190,1686,MP*1,MP*1
17311.0,830,836,PSI*,PSI*
17311.0,832,834,PSI*,PSI*
17312.0,1492,1613,MP*1,MP*1
17312.0,841,852,PSI*,PSI*
17312.0,825,826,PSI*,PSI*
17312.0,683,698,PC,PC
17312.0,1190,1686,MP*1,MP*1
17312.0,1170,1672,MP*1,MP*1
17312.0,832,834,PSI*,PSI*
17313.0,1492,1613,MP*1,MP*1
17313.0,853,889,PSI*,PC*
17313.0,836,860,PSI*,PSI*
17313.0,841,852,PSI*,PSI*
17313.0,825,826,PSI*,PSI*
17313.0,853,854,PSI*,PSI*
17313.0,683,698,PC,PC
17313.0,660,681,PC,PC
17313.0,826,836,PSI*,PSI*
17313.0,831,864,PSI*,PSI*
17313.0,832,834,PSI*,PSI*
17314.0,1492,1613,MP*1,MP*1
17314.0,853,854,PSI*,PSI*
17314.0,600,613,PC,PC
17314.0,825,826,PSI*,PSI*
17314.0,683,698,PC,PC
17314.0,660,681,PC,PC
17314.0,832,836,PSI*,PSI*
17314.0,635,648,PC,PC
17315.0,1492,1613,MP*1,MP*1
17315.0,853,854,PSI*,PSI*
17315.0,683,698,PC,PC
17315.0,636,660,PC,PC
17315.0,827,836,PSI*,PSI*
17315.0,1190,1686,MP*1,MP*1
17315.0,635,648,PC,PC
17315.0,660,681,PC,PC
17316.0,1492,1613,MP*1,MP*1
17316.0,821,889,PC*,PC*
17316.0,683,698,PC,PC
17316.0,660,681,PC,PC
17316.0,841,852,PSI*,PSI*
17317.0,1492,1613,MP*1,MP*1
17317.0,843,860,PSI*,PSI*
17317.0,600,613,PC,PC
17317.0,683,698,PC,PC
17317.0,636,660,PC,PC
17317.0,660,681,PC,PC
17317.0,860,864,PSI*,PSI*
17317.0,827,836,PSI*,PSI*
17317.0,819,821,PC*,PC*
17318.0,1492,1613,MP*1,MP*1
17318.0,852,853,PSI*,PSI*
17318.0,841,853,PSI*,PSI*
17318.0,600,613,PC,PC
17318.0,834,836,PSI*,PSI*
17318.0,683,698,PC,PC
17318.0,636,660,PC,PC
17318.0,827,836,PSI*,PSI*
17318.0,860,864,PSI*,PSI*
17318.0,660,681,PC,PC
17318.0,827,834,PSI*,PSI*
17318.0,832,834,PSI*,PSI*
17319.0,1492,1613,MP*1,MP*1
17319.0,600,623,PC,PC
17319.0,683,698,PC,PC
17319.0,636,660,PC,PC
17319.0,660,681,PC,PC
17319.0,1613,1672,MP*1,MP*1
17319.0,860,864,PSI*,PSI*
17319.0,826,838,PSI*,PSI*
17319.0,832,834,PSI*,PSI*
17320.0,636,681,PC,PC
17320.0,683,698,PC,PC
17320.0,636,660,PC,PC
17320.0,660,681,PC,PC
17320.0,827,834,PSI*,PSI*
17320.0,832,834,PSI*,PSI*
17320.0,836,843,PSI*,PSI*
17321.0,1492,1613,MP*1,MP*1
17321.0,609,661,PC,PC
17321.0,1649,1651,MP*1,MP*1
17321.0,600,613,PC,PC
17321.0,807,889,PC*,PC*
17321.0,683,698,PC,PC
17321.0,660,681,PC,PC
17321.0,860,864,PSI*,PSI*
17321.0,827,834,PSI*,PSI*
17321.0,628,644,PC,PC
17321.0,832,834,PSI*,PSI*
17321.0,836,843,PSI*,PSI*
17322.0,1492,1613,MP*1,MP*1
17322.0,1649,1651,MP*1,MP*1
17322.0,636,660,PC,PC
17322.0,600,613,PC,PC
17322.0,683,698,PC,PC
17322.0,1632,1856,MP*1,MP*1
17322.0,660,681,PC,PC
17322.0,827,834,PSI*,PSI*
17322.0,832,834,PSI*,PSI*
17323.0,1492,1613,MP*1,MP*1
17323.0,1649,1651,MP*1,MP*1
17323.0,636,660,PC,PC
17323.0,600,613,PC,PC
17323.0,683,698,PC,PC
17323.0,663,686,PC,PC
17323.0,1632,1856,MP*1,MP*1
17323.0,660,681,PC,PC
17323.0,832,834,PSI*,PSI*
17324.0,1492,1613,MP*1,MP*1
17324.0,1649,1651,MP*1,MP*1
17324.0,1181,1622,MP*1,MP*1
17324.0,683,698,PC,PC
17324.0,636,660,PC,PC
17324.0,660,681,PC,PC
17324.0,635,648,PC,PC
17324.0,832,834,PSI*,PSI*
17325.0,1492,1613,MP*1,MP*1
17325.0,1649,1651,MP*1,MP*1
17325.0,683,698,PC,PC
17325.0,663,686,PC,PC
17325.0,660,681,PC,PC
17326.0,1492,1613,MP*1,MP*1
17326.0,1649,1651,MP*1,MP*1
17326.0,663,686,PC,PC
17326.0,660,681,PC,PC
17326.0,810,854,PSI*,PSI*
17327.0,1492,1613,MP*1,MP*1
17327.0,860,873,PSI*,PSI*
17327.0,1181,1622,MP*1,MP*1
17327.0,663,686,PC,PC
17327.0,660,681,PC,PC
17328.0,1649,1651,MP*1,MP*1
17328.0,660,681,PC,PC
17328.0,832,834,PSI*,PSI*
17329.0,636,660,PC,PC
17329.0,810,854,PSI*,PSI*
17329.0,660,681,PC,PC
17329.0,832,834,PSI*,PSI*
17329.0,836,843,PSI*,PSI*
17330.0,838,841,PSI*,PSI*
17330.0,860,873,PSI*,PSI*
17330.0,636,660,PC,PC
17330.0,660,681,PC,PC
17330.0,1613,1672,MP*1,MP*1
17330.0,832,834,PSI*,PSI*
17331.0,636,660,PC,PC
17331.0,1632,1856,MP*1,MP*1
17332.0,636,660,PC,PC
17332.0,1632,1856,MP*1,MP*1
17332.0,832,834,PSI*,PSI*
17332.0,1170,1672,MP*1,MP*1
17334.0,1181,1622,MP*1,MP*1
17334.0,1492,1613,MP*1,MP*1
17334.0,810,854,PSI*,PSI*
17335.0,810,854,PSI*,PSI*
17335.0,660,681,PC,PC
17335.0,832,834,PSI*,PSI*
17336.0,1181,1622,MP*1,MP*1
17336.0,1190,1686,MP*1,MP*1
17336.0,832,834,PSI*,PSI*
17336.0,807,889,PC*,PC*
17337.0,1181,1622,MP*1,MP*1
17337.0,860,863,PSI*,PSI*
17337.0,832,834,PSI*,PSI*
17337.0,1190,1686,MP*1,MP*1
17338.0,1181,1622,MP*1,MP*1
17338.0,1108,1644,MP*1,MP*1
17339.0,1181,1622,MP*1,MP*1
17339.0,1170,1672,MP*1,MP*1
17339.0,832,834,PSI*,PSI*
17340.0,832,834,PSI*,PSI*
17341.0,1181,1622,MP*1,MP*1
17341.0,660,681,PC,PC
17341.0,635,648,PC,PC
17341.0,832,834,PSI*,PSI*
17342.0,635,648,PC,PC
17342.0,1170,1672,MP*1,MP*1
17343.0,831,869,PSI*,PSI*
17343.0,1181,1622,MP*1,MP*1
17343.0,635,648,PC,PC
17343.0,832,834,PSI*,PSI*
17344.0,1181,1622,MP*1,MP*1
17344.0,635,648,PC,PC
17344.0,832,834,PSI*,PSI*
17345.0,860,863,PSI*,PSI*
17345.0,831,869,PSI*,PSI*
17345.0,860,864,PSI*,PSI*
17347.0,832,834,PSI*,PSI*
17348.0,1181,1622,MP*1,MP*1
17348.0,660,681,PC,PC
17348.0,832,834,PSI*,PSI*
17349.0,660,681,PC,PC
17349.0,832,834,PSI*,PSI*
17350.0,1181,1622,MP*1,MP*1
17350.0,660,681,PC,PC
17350.0,832,834,PSI*,PSI*
17351.0,1181,1622,MP*1,MP*1
17351.0,660,681,PC,PC
17351.0,832,834,PSI*,PSI*
17352.0,1181,1622,MP*1,MP*1
17352.0,660,681,PC,PC
17352.0,832,834,PSI*,PSI*
17353.0,1181,1622,MP*1,MP*1
17353.0,1108,1601,MP*1,MP*1
17353.0,660,681,PC,PC
17353.0,832,834,PSI*,PSI*
17354.0,1181,1622,MP*1,MP*1
17354.0,660,681,PC,PC
17354.0,832,834,PSI*,PSI*
17355.0,1181,1622,MP*1,MP*1
17355.0,1108,1601,MP*1,MP*1
17355.0,660,681,PC,PC
17355.0,807,889,PC*,PC*
17356.0,1181,1622,MP*1,MP*1
17356.0,1108,1601,MP*1,MP*1
17356.0,838,841,PSI*,PSI*
17356.0,660,681,PC,PC
17357.0,1181,1622,MP*1,MP*1
17357.0,1108,1601,MP*1,MP*1
17357.0,807,889,PC*,PC*
17357.0,660,681,PC,PC
17357.0,682,690,PC,PC
17358.0,1108,1644,MP*1,MP*1
17358.0,1108,1601,MP*1,MP*1
17358.0,1181,1622,MP*1,MP*1
17358.0,660,681,PC,PC
17358.0,1190,1686,MP*1,MP*1
17358.0,1170,1672,MP*1,MP*1
17359.0,1170,1672,MP*1,MP*1
17359.0,660,681,PC,PC
17359.0,1108,1601,MP*1,MP*1
17359.0,807,889,PC*,PC*
17360.0,1108,1601,MP*1,MP*1
17360.0,1108,1644,MP*1,MP*1
17360.0,660,681,PC,PC
17360.0,1170,1672,MP*1,MP*1
17361.0,1108,1601,MP*1,MP*1
17362.0,1181,1622,MP*1,MP*1
17362.0,1170,1672,MP*1,MP*1
17362.0,1108,1601,MP*1,MP*1
17362.0,1190,1686,MP*1,MP*1
17363.0,1181,1622,MP*1,MP*1
17363.0,1108,1601,MP*1,MP*1
17363.0,807,889,PC*,PC*
17364.0,1181,1622,MP*1,MP*1
17364.0,660,681,PC,PC
17365.0,1181,1622,MP*1,MP*1
17366.0,1108,1644,MP*1,MP*1
17367.0,807,889,PC*,PC*
17368.0,628,644,PC,PC
17368.0,831,869,PSI*,PSI*
17369.0,660,681,PC,PC
17370.0,1170,1672,MP*1,MP*1
17370.0,867,873,PSI*,PSI*
17370.0,660,681,PC,PC
17370.0,807,889,PC*,PC*
17371.0,867,873,PSI*,PSI*
17373.0,1181,1622,MP*1,MP*1
17373.0,1667,1856,MP*1,MP*1
17373.0,807,889,PC*,PC*
17374.0,635,648,PC,PC
17374.0,636,660,PC,PC
17374.0,807,889,PC*,PC*
17376.0,660,681,PC,PC
17377.0,867,873,PSI*,PSI*
17377.0,832,834,PSI*,PSI*
17378.0,867,873,PSI*,PSI*
17378.0,832,834,PSI*,PSI*
17378.0,1613,1672,MP*1,MP*1
17379.0,609,661,PC,PC
17379.0,1108,1644,MP*1,MP*1
17379.0,1660,1662,MP*1,MP*1
17379.0,660,681,PC,PC
17379.0,1613,1672,MP*1,MP*1
17379.0,832,834,PSI*,PSI*
17380.0,609,661,PC,PC
17380.0,867,873,PSI*,PSI*
17380.0,832,834,PSI*,PSI*
17381.0,660,681,PC,PC
17382.0,1181,1622,MP*1,MP*1
17382.0,832,834,PSI*,PSI*
17383.0,1190,1686,MP*1,MP*1
17384.0,838,841,PSI*,PSI*
17384.0,1190,1686,MP*1,MP*1
17385.0,636,660,PC,PC
17385.0,832,834,PSI*,PSI*
17385.0,1190,1686,MP*1,MP*1
17386.0,1667,1856,MP*1,MP*1
17386.0,1181,1622,MP*1,MP*1
17386.0,636,660,PC,PC
17386.0,660,681,PC,PC
17386.0,1190,1686,MP*1,MP*1
17387.0,860,873,PSI*,PSI*
17388.0,660,681,PC,PC
17388.0,636,660,PC,PC
17388.0,683,692,PC,PC
17388.0,1190,1686,MP*1,MP*1
17390.0,1170,1672,MP*1,MP*1
17390.0,1613,1672,MP*1,MP*1
17391.0,1613,1672,MP*1,MP*1
17392.0,832,834,PSI*,PSI*
17392.0,1190,1686,MP*1,MP*1
17393.0,826,838,PSI*,PSI*
17394.0,826,838,PSI*,PSI*
17394.0,1613,1672,MP*1,MP*1
17395.0,1181,1622,MP*1,MP*1
17395.0,826,838,PSI*,PSI*
17395.0,1613,1672,MP*1,MP*1
17396.0,1181,1622,MP*1,MP*1
17396.0,826,838,PSI*,PSI*
17397.0,1170,1672,MP*1,MP*1
17397.0,1108,1644,MP*1,MP*1
17397.0,660,681,PC,PC
17397.0,826,838,PSI*,PSI*
17398.0,1181,1622,MP*1,MP*1
17398.0,1170,1672,MP*1,MP*1
17398.0,1108,1644,MP*1,MP*1
17398.0,660,681,PC,PC
17398.0,635,648,PC,PC
17399.0,1181,1622,MP*1,MP*1
17399.0,609,661,PC,PC
17399.0,660,681,PC,PC
17399.0,888,890,PC*,PC*
17399.0,1170,1672,MP*1,MP*1
17400.0,609,661,PC,PC
17400.0,683,698,PC,PC
17400.0,660,681,PC,PC
17400.0,832,834,PSI*,PSI*
17401.0,609,661,PC,PC
17401.0,683,698,PC,PC
17401.0,1108,1644,MP*1,MP*1
17401.0,832,834,PSI*,PSI*
17401.0,1190,1686,MP*1,MP*1
17402.0,609,661,PC,PC
17402.0,683,698,PC,PC
17402.0,660,681,PC,PC
17402.0,832,834,PSI*,PSI*
17402.0,1170,1672,MP*1,MP*1
17403.0,609,661,PC,PC
17403.0,683,698,PC,PC
17403.0,832,834,PSI*,PSI*
17403.0,1170,1672,MP*1,MP*1
17404.0,609,661,PC,PC
17404.0,683,698,PC,PC
17404.0,831,869,PSI*,PSI*
17404.0,660,681,PC,PC
17404.0,1170,1672,MP*1,MP*1
17405.0,683,698,PC,PC
17406.0,1170,1672,MP*1,MP*1
17406.0,683,698,PC,PC
17406.0,832,834,PSI*,PSI*
17407.0,1170,1672,MP*1,MP*1
17407.0,683,698,PC,PC
17407.0,832,834,PSI*,PSI*
17408.0,609,661,PC,PC
17408.0,1108,1644,MP*1,MP*1
17408.0,1181,1622,MP*1,MP*1
17408.0,683,698,PC,PC
17408.0,1170,1672,MP*1,MP*1
17408.0,832,834,PSI*,PSI*
17409.0,609,661,PC,PC
17409.0,888,890,PC*,PC*
17409.0,683,698,PC,PC
17409.0,660,681,PC,PC
17409.0,860,864,PSI*,PSI*
17409.0,1170,1672,MP*1,MP*1
17409.0,832,834,PSI*,PSI*
17410.0,1181,1622,MP*1,MP*1
17410.0,683,698,PC,PC
17410.0,832,834,PSI*,PSI*
17411.0,683,698,PC,PC
17411.0,831,869,PSI*,PSI*
17411.0,867,873,PSI*,PSI*
17411.0,832,834,PSI*,PSI*
17412.0,683,698,PC,PC
17412.0,867,873,PSI*,PSI*
17412.0,832,834,PSI*,PSI*
17413.0,609,661,PC,PC
17413.0,1108,1644,MP*1,MP*1
17413.0,683,698,PC,PC
17413.0,807,889,PC*,PC*
17413.0,1181,1622,MP*1,MP*1
17414.0,609,661,PC,PC
17414.0,683,698,PC,PC
17414.0,867,873,PSI*,PSI*
17414.0,660,681,PC,PC
17414.0,1170,1672,MP*1,MP*1
17415.0,609,661,PC,PC
17415.0,1108,1644,MP*1,MP*1
17415.0,1667,1856,MP*1,MP*1
17415.0,888,890,PC*,PC*
17415.0,1181,1622,MP*1,MP*1
17415.0,683,698,PC,PC
17415.0,660,681,PC,PC
17415.0,1170,1672,MP*1,MP*1
17416.0,1181,1622,MP*1,MP*1
17416.0,683,698,PC,PC
17416.0,660,681,PC,PC
17417.0,609,661,PC,PC
17417.0,1667,1856,MP*1,MP*1
17417.0,1181,1622,MP*1,MP*1
17417.0,683,698,PC,PC
17417.0,660,681,PC,PC
17417.0,1613,1672,MP*1,MP*1
17418.0,609,661,PC,PC
17418.0,600,613,PC,PC
17418.0,1181,1622,MP*1,MP*1
17418.0,683,698,PC,PC
17418.0,660,681,PC,PC
17418.0,1613,1672,MP*1,MP*1
17419.0,1181,1622,MP*1,MP*1
17419.0,600,613,PC,PC
17419.0,683,698,PC,PC
17419.0,660,681,PC,PC
17420.0,609,661,PC,PC
17420.0,600,613,PC,PC
17420.0,1181,1622,MP*1,MP*1
17420.0,683,698,PC,PC
17420.0,660,681,PC,PC
17420.0,832,834,PSI*,PSI*
17421.0,1181,1622,MP*1,MP*1
17421.0,600,613,PC,PC
17421.0,683,698,PC,PC
17421.0,660,681,PC,PC
17422.0,1181,1622,MP*1,MP*1
17422.0,600,613,PC,PC
17422.0,683,698,PC,PC
17422.0,660,681,PC,PC
17423.0,1181,1622,MP*1,MP*1
17423.0,600,613,PC,PC
17423.0,683,698,PC,PC
17423.0,1108,1644,MP*1,MP*1
17423.0,660,681,PC,PC
17424.0,600,613,PC,PC
17424.0,1181,1622,MP*1,MP*1
17424.0,683,698,PC,PC
17424.0,636,660,PC,PC
17424.0,660,681,PC,PC
17424.0,1190,1686,MP*1,MP*1
17424.0,832,834,PSI*,PSI*
17425.0,1181,1622,MP*1,MP*1
17425.0,683,698,PC,PC
17425.0,832,834,PSI*,PSI*
17425.0,1190,1686,MP*1,MP*1
17426.0,1181,1622,MP*1,MP*1
17426.0,683,698,PC,PC
17426.0,682,690,PC,PC
17426.0,832,834,PSI*,PSI*
17426.0,1190,1686,MP*1,MP*1
17427.0,1181,1622,MP*1,MP*1
17427.0,683,698,PC,PC
17427.0,660,681,PC,PC
17427.0,832,834,PSI*,PSI*
17428.0,807,889,PC*,PC*
17428.0,1181,1622,MP*1,MP*1
17428.0,683,698,PC,PC
17428.0,660,681,PC,PC
17428.0,1190,1686,MP*1,MP*1
17428.0,1170,1672,MP*1,MP*1
17428.0,832,834,PSI*,PSI*
17429.0,1108,1644,MP*1,MP*1
17429.0,1181,1622,MP*1,MP*1
17429.0,683,698,PC,PC
17429.0,867,873,PSI*,PSI*
17429.0,660,681,PC,PC
17429.0,1613,1672,MP*1,MP*1
17429.0,832,834,PSI*,PSI*
17430.0,683,698,PC,PC
17430.0,660,681,PC,PC
17431.0,1181,1622,MP*1,MP*1
17431.0,600,613,PC,PC
17431.0,683,698,PC,PC
17431.0,867,873,PSI*,PSI*
17431.0,660,681,PC,PC
17432.0,683,698,PC,PC
17432.0,660,681,PC,PC
17433.0,683,698,PC,PC
17433.0,660,681,PC,PC
17434.0,683,698,PC,PC
17434.0,660,681,PC,PC
17435.0,1181,1622,MP*1,MP*1
17435.0,683,698,PC,PC
17435.0,660,681,PC,PC
17436.0,860,873,PSI*,PSI*
17436.0,683,698,PC,PC
17436.0,831,869,PSI*,PSI*
17436.0,660,681,PC,PC
17437.0,683,698,PC,PC
17437.0,660,681,PC,PC
17438.0,1181,1622,MP*1,MP*1
17438.0,683,698,PC,PC
17438.0,660,681,PC,PC
17439.0,1181,1622,MP*1,MP*1
17439.0,683,698,PC,PC
17439.0,831,869,PSI*,PSI*
17439.0,660,681,PC,PC
17440.0,1181,1622,MP*1,MP*1
17440.0,683,698,PC,PC
17440.0,660,681,PC,PC
17441.0,1181,1622,MP*1,MP*1
17441.0,683,698,PC,PC
17441.0,682,690,PC,PC
17442.0,1181,1622,MP*1,MP*1
17442.0,683,698,PC,PC
17442.0,636,660,PC,PC
17442.0,682,690,PC,PC
17443.0,683,698,PC,PC
17443.0,636,660,PC,PC
17443.0,682,690,PC,PC
17444.0,1181,1622,MP*1,MP*1
17444.0,683,698,PC,PC
17444.0,682,690,PC,PC
17445.0,1181,1622,MP*1,MP*1
17445.0,683,698,PC,PC
17445.0,682,690,PC,PC
17446.0,1181,1622,MP*1,MP*1
17446.0,683,698,PC,PC
17446.0,867,873,PSI*,PSI*
17446.0,660,681,PC,PC
17447.0,1181,1622,MP*1,MP*1
17447.0,683,698,PC,PC
17447.0,660,681,PC,PC
17448.0,1181,1622,MP*1,MP*1
17448.0,683,698,PC,PC
17448.0,636,660,PC,PC
17449.0,1181,1622,MP*1,MP*1
17449.0,1667,1856,MP*1,MP*1
17449.0,683,698,PC,PC
17449.0,636,660,PC,PC
17449.0,660,681,PC,PC
17450.0,1667,1856,MP*1,MP*1
17450.0,1181,1622,MP*1,MP*1
17450.0,683,698,PC,PC
17450.0,636,660,PC,PC
17450.0,660,681,PC,PC
17450.0,1190,1686,MP*1,MP*1
17451.0,1181,1622,MP*1,MP*1
17451.0,683,698,PC,PC
17451.0,636,660,PC,PC
17451.0,660,681,PC,PC
17451.0,1190,1686,MP*1,MP*1
17452.0,1181,1622,MP*1,MP*1
17452.0,683,698,PC,PC
17452.0,636,660,PC,PC
17452.0,1190,1686,MP*1,MP*1
17453.0,1181,1622,MP*1,MP*1
17453.0,683,698,PC,PC
17453.0,636,660,PC,PC
17453.0,1190,1686,MP*1,MP*1
17454.0,1181,1622,MP*1,MP*1
17454.0,683,698,PC,PC
17454.0,660,681,PC,PC
17454.0,1190,1686,MP*1,MP*1
17455.0,683,698,PC,PC
17455.0,660,681,PC,PC
17455.0,1190,1686,MP*1,MP*1
17456.0,1181,1622,MP*1,MP*1
17456.0,683,698,PC,PC
17456.0,660,681,PC,PC
17456.0,1190,1686,MP*1,MP*1
17457.0,1181,1622,MP*1,MP*1
17457.0,683,698,PC,PC
17457.0,660,681,PC,PC
17457.0,1190,1686,MP*1,MP*1
17458.0,1181,1622,MP*1,MP*1
17458.0,683,698,PC,PC
17458.0,660,681,PC,PC
17459.0,1492,1613,MP*1,MP*1
17459.0,1181,1622,MP*1,MP*1
17459.0,683,698,PC,PC
17459.0,660,681,PC,PC
17460.0,1181,1622,MP*1,MP*1
17460.0,1170,1672,MP*1,MP*1
17460.0,683,698,PC,PC
17460.0,660,681,PC,PC
17461.0,1492,1613,MP*1,MP*1
17461.0,1181,1622,MP*1,MP*1
17461.0,683,698,PC,PC
17461.0,660,681,PC,PC
17461.0,1613,1672,MP*1,MP*1
17461.0,1170,1672,MP*1,MP*1
17462.0,1181,1622,MP*1,MP*1
17462.0,1492,1613,MP*1,MP*1
17462.0,683,698,PC,PC
17463.0,1492,1613,MP*1,MP*1
17463.0,1181,1622,MP*1,MP*1
17463.0,683,698,PC,PC
17463.0,660,681,PC,PC
17464.0,1492,1613,MP*1,MP*1
17464.0,1181,1622,MP*1,MP*1
17464.0,683,698,PC,PC
